Team,Div.,1,2,3,4,5,6,7,8,9,10,11,12,TOT
Harvard,A,1,5,1,13,7,8,2,6,1,9,16,8,77
Harvard,B,4,1,6,1,2,2,15,16,13,5,4,12,81
Harvard,C,1,1,2,2,3,3,12,2,1,2,2,1,32
Stanford,A,13,6,2,1,1,1,7,12,15,6,6,2,72
Stanford,B,2,3,10,6,12,16,4,3,15,4,14,5,94
Stanford,C,16,12,10,1,5,1,1,15,15,3,9,5,93
Coast Guard,A,5,3,5,8,15,10,4,4,2,4,1,9,70
Coast Guard,B,15,16,11,2,17,4,10,10,10,8,10,9,122
Coast Guard,C,12,3,3,6,9,13,6,1,6,4,1,8,72
Boston College,A,8,9,10,5,6,6,5,1,9,2,3,14,78
Boston College,B,11,4,14,14,9,3,8,7,1,2,5,14,92
Boston College,C,6,18,11,10,6,9,18,8,10,9,4,4,113
MIT,A,14,4,13,14,5,11,8,8,11,12,8,6,114
MIT,B,8,8,2,15,4,8,1,4,2,3,1,3,59
MIT,C,11,2,5,13,12,6,9,16,7,10,12,12,115
Boston University,A,10,BKD,9,4,14,14,1,14,6,15,2,3,100
Boston University,B,9,10,16,12,7,7,5,5,9,17,9,7,113
Boston University,C,3,14,9,3,14,4,8,4,3,8,13,6,89
Rhode Island,A,9,13,11,17,4,2,9,2,18,14,10,10,119
Rhode Island,B,14,9,1,3,6,6,2,8,4,11,2,1,67
Rhode Island,C,10,5,1,8,11,17,7,18,5,15,11,14,122
Yale,A,6,2,3,15,3,17,3,3,13,7,11,13,96
Yale,B,17,2,9,10,1,11,13,18,12,6,8,11,118
Yale,C,7,4,7,9,1,12,2,11,14,5,14,13,99
Brown,A,3,14,8,16,8,4,13,5,5,3,13,7,99
Brown,B,7,14,15,11,16,12,7,9,6,1,3,17,118
Brown,C,9,11,8,4,10,10,10,7,8,6,7,7,97
Roger Williams,A,4,1,7,11,2,3,6,13,4,5,5,11,72
Roger Williams,B,5,12,3,8,5,10,16,13,16,16,16,6,126
Roger Williams,C,2,16,4,18,18,11,17,5,12,7,16,10,136
Connecticut College,A,11,10,4,6,9,5,12,9,7,11,9,12,105
Connecticut College,B,10,5,13,5,3,1,17,2,5,12,11,4,88
Connecticut College,C,14,9,15,12,15,16,5,13,9,13,15,11,147
Fordham,A,16,16,15,10,11,13,10,10,8,1,4,1,115
Fordham,B,13,7,5,17,10,15,3,6,8,9,12,10,115
Fordham,C,8,13,17,15,8,2,3,3,4,11,18,9,111
Dartmouth,A,15,18,6,3,18,9,16,7,10,8,17,16,143
Dartmouth,B,1,6,4,4,11,5,11,12,14,10,13,8,99
Dartmouth,C,4,6,13,5,7,8,4,10,11,12,6,16,102
George Washington,A,7,8,14,12,12,15,14,11,3,10,15,17,138
George Washington,B,3,15,8,7,14,13,9,17,3,13,15,15,132
George Washington,C,13,8,14,16,16,7,11,6,17,1,3,3,115
Tufts,A,2,15,17,7,10,16,18,17,12,13,14,15,156
Tufts,B,6,17,7,16,15,14,14,11,7,7,6,2,122
Tufts,C,5,7,6,7,4,14,13,17,16,17,8,2,116
Hobart & William Sm,A,17,12,12,2,13,7,17,16,17,16,12,4,145
Hobart & William Sm,B,16,11,17,13,13,9,6,1,17,14,7,13,137
Hobart & William Sm,C,17,15,12,11,2,5,14,9,2,14,10,17,128
Vermont,A,12,7,18,9,16,12,11,15,14,17,7,5,143
Vermont,B,12,13,12,9,8,17,12,14,11,15,17,16,156
Vermont,C,15,10,16,14,13,15,15,14,13,16,5,15,161
Marquette,A,18,17,16,18,17,18,15,18,16,18,18,18,207
Marquette,B,18,18,18,18,18,18,18,15,18,18,18,18,213
Marquette,C,18,17,18,17,17,18,16,12,18,18,17,18,204
